METRO_ID	Metropolitan areas	Year	CO2_PC	ENTROPY_1000M	EQU_HOU_DISP_INC	GDP_PC	GINI_INC	GREEN_AREA_PC	LABOUR_PRODUCTIVITY	PCT_INTENSITY	POP_DENS	SPRAWL	UNEMP_R	Country
AT001	Vienna	2000	12.77			45434.48		255.17	94254.6	0.9	267.27		4.77	AT
AT001	Vienna	2001				45479.15		252.68	94805.82	0.97	269.9		4.83	AT
AT001	Vienna	2002				46065.5		250.22	100463.1	1.06	272.56		5.82	AT
AT001	Vienna	2003				45470.92		247.77	97851.61	1.15	275.26		6.24	AT
AT001	Vienna	2004				46148.38		245.34	102259.13	1.34	277.99		7.2	AT
AT001	Vienna	2005	15.42			46327.07		242.92	102121.39	1.31	280.75		7.37	AT
AT001	Vienna	2006				47550.9		240.53	101338.84	1.67	283.54	-4.55	7.05	AT
AT001	Vienna	2007				48254.48		238.15	101390.88	1.49	286.38		6.57	AT
AT001	Vienna	2008	14.23			48755.43		235.79	102134.84	1.32	289.24		5.51	AT
AT001	Vienna	2009				46862.31		233.44	98612.43		292.15		6.31	AT
AT001	Vienna	2010				47076.79		231.12	98936.65		295.09		6.02	AT
AT001	Vienna	2011				47604.65		228.81	99807.58		298.07		5.99	AT
AT001	Vienna	2012			31054.0	47307.24	0.272	226.52	99496.92		301.08	5.5	6.62	AT
AT002	Graz	2000	10.23			38661.86		997.39	82440.05	1.53	179.92		3.06	AT
AT002	Graz	2001				38761.08		988.23	82725.05	1.6	181.59		3.56	AT
AT002	Graz	2002				38799.5		979.1	84272.28	2.06	183.28		3.61	AT
AT002	Graz	2003				39570.09		969.96	84714.64	2.39	185.01		4.05	AT
AT002	Graz	2004				40950.39		960.85	88788.45	2.67	186.76		3.75	AT
AT002	Graz	2005	11.99			41570.98		951.75	86716.61	2.6	188.55		4.2	AT
AT002	Graz	2006				41980.19		942.72	86330.82	3.05	190.36	-4.62	4.07	AT
AT002	Graz	2007				43244.35		933.67	88382.57	2.53	192.2		3.99	AT
AT002	Graz	2008	10.69			43354.61		924.67	89369.25	2.61	194.07		3.68	AT
AT002	Graz	2009				41335.01		915.69	85954.45		195.97		4.85	AT
AT002	Graz	2010				41510.68		906.73	89284.88		197.91		4.49	AT
AT002	Graz	2011				42869.18		897.83	92778.26		199.87		3.7	AT
AT002	Graz	2012			32229.0	43102.13	0.274	888.95	91858.42		201.87	-0.6	3.7	AT
AT003	Linz	2000	14.25			39992.44		1791.92	84577.74	1.04	165.29		3.1	AT
AT003	Linz	2001				40643.35		1784.87	85571.78	1.18	165.94		2.74	AT
AT003	Linz	2002				40622.54		1777.8	85614.05	1.34	166.6		3.0	AT
AT003	Linz	2003				41384.92		1770.71	84711.68	1.43	167.27		3.12	AT
AT003	Linz	2004				41888.29		1763.59	88040.03	1.36	167.94		3.54	AT
AT003	Linz	2005	16.49			42740.0		1756.49	88518.65	1.71	168.62		3.79	AT
AT003	Linz	2006				43940.66		1749.38	88396.05	1.67	169.31	0.66	2.98	AT
AT003	Linz	2007				45163.52		1742.23	89059.03	1.98	170.0		3.07	AT
AT003	Linz	2008	17.58			46865.63		1735.1	91483.8	2.04	170.7		2.46	AT
AT003	Linz	2009				44506.17		1727.91	87807.75		171.41		3.6	AT
AT003	Linz	2010				45117.43		1720.77	90075.35		172.12		4.05	AT
AT003	Linz	2011				46271.57		1713.59	89837.93		172.84		3.06	AT
AT003	Linz	2012			34048.0	46469.25	0.261	1706.4	90519.32		173.57	36.7	3.12	AT
AUS	Australia	2000	19.52			36321.38			77642.46		2.47		6.28	AU
AUS	Australia	2001				37243.24			79628.52		2.5		6.74	AU
AUS	Australia	2002				37955.82			80515.27		2.53		6.37	AU
AUS	Australia	2003				39081.38			82021.03		2.56		5.93	AU
AUS	Australia	2004				39909.42			83225.91		2.59		5.39	AU
AUS	Australia	2005	20.19			40605.67			82919.21		2.62		5.03	AU
AUS	Australia	2006				41567.76			83966.98		2.65		4.78	AU
AUS	Australia	2007				42327.16			84488.34		2.7		4.38	AU
AUS	Australia	2008	19.86			42205.89			83573.49		2.76		4.23	AU
AUS	Australia	2009				42156.34			84626.74		2.82		5.56	AU
AUS	Australia	2010				42469.13			84889.19		2.86		5.21	AU
AUS	Australia	2011				43444.42			86540.62		2.9		5.08	AU
AUS	Australia	2012				43774.98			87680.26		2.95		5.22	AU
AUS	Australia	2013				44117.54			88986.28		3.0		5.65	AU
AUS01	Sydney	2000	9.37			38565.96		55.38	79357.95		332.15		4.35	AU
AUS01	Sydney	2001				38766.27		54.83	79312.36		335.48		5.08	AU
AUS01	Sydney	2002				39394.45		54.4	79402.73		338.18		5.08	AU
AUS01	Sydney	2003				40551.81		54.04	82268.24		340.38		5.04	AU
AUS01	Sydney	2004				40949.18		53.76	82718.93		342.2		4.68	AU
AUS01	Sydney	2005	9.48			40809.64		53.34	81221.86		344.88		4.4	AU
AUS01	Sydney	2006				40972.71		52.86	81384.41		348.04		4.53	AU
AUS01	Sydney	2007				41348.77		52.01	82015.13		353.71		4.51	AU
AUS01	Sydney	2008	9.43			40663.05		51.02	79912.14		360.58		4.49	AU
AUS01	Sydney	2009				41377.61		50.08	82354.6		367.35		6.08	AU
AUS01	Sydney	2010				41163.05		49.38	81950.7		372.51		5.01	AU
AUS01	Sydney	2011			39221.0	41949.75		48.81	82997.89		376.88		5.06	AU
AUS01	Sydney	2012				42764.03		48.11	84582.98		382.38		4.82	AU
AUS01	Sydney	2013				42823.59		47.3	84879.8		388.94		5.36	AU
AUS02	Melbourne	2000	11.22			36335.73		44.0	75436.48		342.35		5.73	AU
AUS02	Melbourne	2001				37548.32		43.48	77371.52		346.45		6.28	AU
AUS02	Melbourne	2002				38497.29		42.92	77806.06		350.93		5.76	AU
AUS02	Melbourne	2003				39015.16		42.35	79930.29		355.73		5.58	AU
AUS02	Melbourne	2004				39551.74		41.79	79886.23		360.47		5.2	AU
AUS02	Melbourne	2005	10.39			38842.16		41.16	76914.39		365.96		4.93	AU
AUS02	Melbourne	2006				39160.89		40.47	77425.72		372.23		4.7	AU
AUS02	Melbourne	2007				39863.89		39.61	77994.22		380.25		4.57	AU
AUS02	Melbourne	2008	10.22			38203.83		38.71	74138.52		389.13		4.37	AU
AUS02	Melbourne	2009				38853.51		37.75	76314.9		399.06		5.64	AU
AUS02	Melbourne	2010				37940.97		37.07	73408.8		406.39		5.08	AU
AUS02	Melbourne	2011			35233.0	38453.2		36.5	74275.47		412.67		5.04	AU
AUS02	Melbourne	2012				39274.3		35.79	76622.87		420.9		5.44	AU
